mirna_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-mir-141	1.4419782544391349	-2.678717547494507	0.9049521442640117	-2.9600654183466024	0.0030757372322974207	0.00598521839798417
hsa-mir-142	197.52504346366445	-1.472858321322758	0.6029974531289449	-2.4425614298702554	0.014583447461502962	0.024019795818946053
hsa-mir-143	13199.459977574877	-3.0014772905387646	0.3350013330348816	-8.959598050991156	3.2586408317402316e-19	4.43879724107318e-18
hsa-mir-144	488.9610372728176	-2.2965233929423787	0.8268451550764481	-2.7774528021876694	0.0054786796299430875	0.01004092557633206
hsa-mir-145	450.7474116848434	-0.9948548165424553	0.2906178922659583	-3.4232400792172015	0.000618793987202175	0.001379965351990691
hsa-mir-1468	10.909519096145639	-1.3415100633098043	0.3518414983114921	-3.812825007134717	0.00013738738915325735	0.0003479560006695563
hsa-mir-146a	68.01897519441147	2.3504721254180128	0.43253855598096386	5.434133195565247	5.506343987022448e-08	2.1851947791018217e-07
hsa-mir-146b	2880.343319038483	2.5103716096588498	0.3275320954912625	7.664505690331098	1.7952124885650378e-14	1.3708895367223925e-13
hsa-mir-151a	2742.7744218349912	-1.1850104116707243	0.37645488473190347	-3.1478152090246954	0.0016449564678547436	0.0033429760475757694
hsa-mir-151b	8.253248637712412	-1.4950511491248635	0.5371187869141623	-2.783464636778363	0.005378172499412248	0.009892696860232749
hsa-mir-153-1	33.946974724058784	-3.4952196136669915	0.48235508938140964	-7.246154732500891	4.287702551814374e-13	2.9202730893438435e-12
hsa-mir-153-2	182.36545998149555	-5.440714183124692	0.37191446405224887	-14.628939471309042	1.8362711398414545e-48	9.25480654480093e-47
hsa-mir-154	58.25755655855936	-1.045117629834182	0.4770414170722056	-2.190832058667962	0.028463947769912474	0.04400561250317757
hsa-mir-155	549.4637167497433	4.899828999504185	0.6305051770682077	7.771274809015761	7.770011775240047e-15	6.419813007739318e-14
hsa-mir-15b	926.3646798370007	3.4014649608341356	0.3904611826256037	8.711403622663441	3.001349113110317e-18	3.4379089841081815e-17
hsa-mir-16-1	1471.9616098585243	2.996724517980701	0.34126941678450745	8.781110672665301	1.6186817266426502e-18	1.9897941225070625e-17
hsa-mir-16-2	1660.6700604350922	3.129603346716158	0.3491635916627292	8.963143413128721	3.155517614241293e-19	4.41772465993781e-18
hsa-mir-181a-1	5398.943946935217	-1.000277719178799	0.37925483153110645	-2.637481809105856	0.008352410515622964	0.014515913447841288
hsa-mir-181a-2	5475.129380701576	-0.9651629980521773	0.3892211272882621	-2.479729208885841	0.01314821935968929	0.021942723699613916
hsa-mir-181c	481.3341408696097	-1.209360636775822	0.39169403203527753	-3.0875135638188693	0.0020183856037640697	0.00398927978155722
hsa-mir-183	1325.7625543682839	2.721185591361744	0.8381491026186366	3.2466605080885014	0.0011676758474982024	0.0024218462022184938
hsa-mir-184	24.040899563774136	-4.28602313150226	0.7041378086568364	-6.08690952084788	1.1511097779616872e-09	5.632614835851362e-09
hsa-mir-186	414.5858210961635	0.5104122258569335	0.20782671265369973	2.4559510148602985	0.01405123093504739	0.023219083250045524
hsa-mir-187	13.288785568614243	-1.839310901237562	0.7730649542029925	-2.379244966723188	0.017348142890136798	0.028023923130220982
